Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1912,Stockholm,Athletics,Athletics,"MÖLLER, Ivan",SWE,Men,4X100M Relay,Silver
1996,Atlanta,Hockey,Hockey,"ROCHE, Danni",AUS,Women,Hockey,Gold
2012,London,Gymnastics,Gymnastics Artistic,"UCHIMURA, Kohei",JPN,Men,Team Competition,Silver
1984,Los Angeles,Equestrian,Jumping,"SLOOTHAAK, Franke",FRG,Men,Team,Bronze
2008,Beijing,Rowing,Rowing,"EGINGTON, Richard",GBR,Men,Eight With Coxswain (8+),Silver
2000,Sydney,Boxing,Boxing,"GUTIERREZ, Jorge",CUB,Men,71-75KG,Gold
1924,Paris,Shooting,Shooting,"HUGUES, F. H.",USA,Men,"Clay Pigeons, Team",Gold
1924,Paris,Equestrian,Eventing,"VAN DER VOORT VAN ZIJP, Adolf Dirk C.",NED,Men,Individual,Gold
1956,Melbourne / Stockholm,Cycling,Cycling Track,"LECANTE, Jean-Claude",FRA,Men,Team Pursuit (4000M),Silver
2000,Sydney,Gymnastics,Artistic G.,"PRESACAN, Maria Claudia",ROU,Women,Team Competition,Gold
1980,Moscow,Fencing,Fencing,"ROMANO, Marco",ITA,Men,Sabre Team,Silver
1952,Helsinki,Athletics,Athletics,"DORDONI, Giuseppe",ITA,Men,50KM Walk,Gold
1972,Munich,Hockey,Hockey,"SINGH, Mukhbain",IND,Men,Hockey,Bronze
1968,Mexico,Gymnastics,Artistic G.,"KATO, Sawao",JPN,Men,Team Competition,Gold
2000,Sydney,Gymnastics,Rhythmic G.,"SHIMANSKAYA, Vera",RUS,Women,Group Competition,Gold
2004,Athens,Cycling,Cycling Track,"WOOLDRIDGE, Stephen",AUS,Men,Team Pursuit (4000M),Gold
1920,Antwerp,Archery,Archery,"HERMANS, Joseph",BEL,Men,"Fixed Bird Target Small Bird, Teams",Gold
1984,Los Angeles,Canoe / Kayak,Canoe / Kayak F,"SCHUTTPELZ, Barbara",FRG,Women,K-1 500M (Kayak Single),Silver
1912,Stockholm,Wrestling,Wrestling Gre-R,"ASIKAINEN, Alfred",FIN,Men,67.5 - 75KG (Middleweight),Bronze
1984,Los Angeles,Gymnastics,Artistic G.,"SOTOMURA, Koji",JPN,Men,Floor Exercises,Bronze
1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze
1960,Rome,Gymnastics,Artistic G.,"LEUSTEANU-POPESCU-TEODORESCU, Elena",ROU,Women,Team Competition,Bronze
1976,Montreal,Aquatics,Swimming,"JARDIN, Anne Elizabeth",CAN,Women,4X100M Freestyle Relay,Bronze
2008,Beijing,Cycling,Cycling Track,"BEWLEY, Sam",NZL,Men,Team Pursuit (4000M),Bronze
1920,Antwerp,Gymnastics,Artistic G.,"ARETS, Paul",BEL,Men,"Team, Swedish System",Bronze
2000,Sydney,Tennis,Tennis,"CORRETJA, Alex",ESP,Men,Doubles,Bronze
1976,Montreal,Rowing,Rowing,"HANSEN, Alf John",NOR,Men,Double Sculls (2X),Gold
2004,Athens,Aquatics,Water polo,"JELENIC, Viktor",SCG,Men,Water Polo,Silver
1984,Los Angeles,Weightlifting,Weightlifting,"KABBAS, Robert",AUS,Men,"75 - 82.5KG, Total (Light-Heavyweight)",Silver
1984,Los Angeles,Fencing,Fencing,"MARIN, Corneliu",ROU,Men,Sabre Team,Bronze
1972,Munich,Rowing,Rowing,"SCHWARZ, Dietmar",GDR,Men,Eight With Coxswain (8+),Bronze
1932,Los Angeles,Cycling,Cycling Road,"SEGATO, Guglielmo",ITA,Men,Team Time Trial,Gold
1952,Helsinki,Fencing,Fencing,"MAGNUSSON, Lennart",SWE,Men,Épée Team,Silver
1960,Rome,Hockey,Hockey,"CABALLER SOTERAS, Francisco",ESP,Men,Hockey,Bronze
1972,Munich,Cycling,Cycling Track,"SCHUHMACHER, Günther",FRG,Men,Team Pursuit (4000M),Gold
2000,Sydney,Equestrian,Dressage,"VAN BAALEN, Coby",NED,Women,Team,Silver
1992,Barcelona,Aquatics,Diving,"LENZI, Mark Edward",USA,Men,3M Springboard,Gold
2012,London,Football,Football,"PARK, Jongwoo",KOR,Men,Football,Bronze
1976,Montreal,Canoe / Kayak,Canoe / Kayak F,"HELM, Rüdiger",GDR,Men,K-1 500M (Kayak Single),Bronze
2012,London,Canoe,Canoe Sprint,"KOKENY, Roland",HUN,Men,K-2 1000M,Gold
1912,Stockholm,Gymnastics,Artistic G.,"SJURSEN, Robert",NOR,Men,"Team, Free System",Gold
1972,Munich,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,200M Backstroke,Gold
1948,London,Aquatics,Swimming,"PADOU JR., Henri",FRA,Men,4X200M Freestyle Relay,Bronze
1956,Melbourne / Stockholm,Fencing,Fencing,"NIGON, Claude",FRA,Men,Épée Team,Bronze
1968,Mexico,Shooting,Shooting,"VOLLMAR, Harald",GDR,Men,50M Pistol (60 Shots),Bronze
1928,Amsterdam,Football,Football,"CASTRO, Hector",URU,Men,Football,Gold
1980,Moscow,Judo,Judo,"EMIZH, Arambi",URS,Men,- 60 KG,Bronze
1996,Atlanta,Rowing,Rowing,"HAJEK, Andreas",GER,Men,Quadruple Sculls Without Coxswain (4X),Gold
1988,Seoul,Athletics,Athletics,"MC FARLANE, Michael",GBR,Men,4X100M Relay,Silver
1912,Stockholm,Fencing,Fencing,"FUCHS, Jenö",HUN,Men,Sabre Team,Gold
1984,Los Angeles,Volleyball,Volleyball,"ZHENG, Mei-Zhu",CHN,Women,Volleyball,Gold
2008,Beijing,Hockey,Hockey,"ZHANG, Yimeng",CHN,Women,Hockey,Silver
1996,Atlanta,Aquatics,Swimming,"KLIM, Michael",AUS,Men,4X100M Medley Relay,Bronze
1912,Stockholm,Aquatics,Swimming,"HODGSON, George Ritchie",CAN,Men,1500M Freestyle,Gold
1968,Mexico,Athletics,Athletics,"BOSTON, Ralph Harold",USA,Men,Long Jump,Bronze
1924,Paris,Football,Football,"ETCHEGOYEN, P.",URU,Men,Football,Gold
1952,Helsinki,Gymnastics,Artistic G.,"CHUKARIN, Viktor Ivanovich",URS,Men,Parallel Bars,Silver
1948,London,Cycling,Cycling Track,"BENFENATI, Arnaldo",ITA,Men,Team Pursuit (4000M),Silver
2008,Beijing,Football,Football,"BANEGA, Ever",ARG,Men,Football,Gold
1996,Atlanta,Archery,Archery,"OH, Kyo-Moon",KOR,Men,Team (Fita Olympic Round - 70M),Silver
1968,Mexico,Hockey,Hockey,"PEARCE, Gordon Charles",AUS,Men,Hockey,Silver
2000,Sydney,Athletics,Athletics,"LEWIS, Eldice",BAH,Women,4X100M Relay,Gold
1924,Paris,Gymnastics,Artistic G.,"VACHA, Ladislav",TCH,Men,Rope Climbing,Bronze
1956,Melbourne / Stockholm,Aquatics,Water polo,"MAYER, Mihaly",HUN,Men,Water Polo,Gold
2012,London,Weightlifting,Weightlifting,"ABIR ABDELRAHMAN, Khalil Mahmoud K.",EGY,Women,75KG,Silver
1988,Seoul,Gymnastics,Artistic G.,"SILIVAS, Daniela",ROU,Women,Uneven Bars,Gold
1992,Barcelona,Rowing,Rowing,"FEENEY, Carol",USA,Women,Coxless Four (4-),Silver
2012,London,Rowing,Rowing,"MARQUARDT, Darcy",CAN,Women,Eight With Coxswain,Silver
2012,London,Aquatics,Diving,"DALEY, Thomas",GBR,Men,10M Platform,Bronze
1988,Seoul,Aquatics,Swimming,"OTTO, Kristin",GDR,Women,4X100M Freestyle Relay,Gold
1908,London,Rowing,Rowing,"MORIMONT, Marcel",BEL,Men,Eight With Coxswain (8+),Silver
1980,Moscow,Handball,Handball,"KUSHNIRYUK, Sergei",URS,Men,Handball,Silver
1924,Paris,Football,Football,"RYDELL, Sven",SWE,Men,Football,Bronze
1976,Montreal,Canoe / Kayak,Canoe / Kayak F,"ROMANOVSKY, Vladimir",URS,Men,K-2 1000M (Kayak Double),Gold
1992,Barcelona,Rowing,Rowing,"SEARLE, Gregory Mark Pascol",GBR,Men,Pair-Oared Shell With Coxswain (2+),Gold
1956,Melbourne / Stockholm,Weightlifting,Weightlifting,"BOGDANOVSKY, Fedor",URS,Men,"67.5 - 75KG, Total (Middleweight)",Gold
2000,Sydney,Aquatics,Swimming,"VAN DYKEN, Amy",USA,Women,4X100M Freestyle Relay,Gold
1988,Seoul,Volleyball,Volleyball,"ZULIANELLO, Claudio F.",ARG,Men,Volleyball,Bronze
1948,London,Athletics,Athletics,"ELMSATER, Erik",SWE,Men,3000M Steeplechase,Silver
2000,Sydney,Aquatics,Diving,"SANG, Xue",CHN,Women,Synchronized Diving 10M Platform,Gold
1996,Atlanta,Handball,Handball,"SUNESEN, Gitte",DEN,Women,Handball,Gold
2012,London,Rowing,Rowing,"COP, Iztok",SLO,Men,Double Sculls,Bronze
2008,Beijing,Aquatics,Swimming,"MURPHY, Patrick",AUS,Men,4X100M Freestyle Relay,Bronze
1924,Paris,Athletics,Athletics,"MACDONALD, J. Oliver",USA,Men,4X400M Relay,Gold
1984,Los Angeles,Handball,Handball,"ANASTASOVSKI, Svetlana",YUG,Women,Handball,Gold
1972,Munich,Basketball,Basketball,"CALDERON GOMEZ, Miguel",CUB,Men,Basketball,Bronze
1904,St Louis,Football,Football,"STEEP, Frederick",CAN,Men,Football,Gold
2000,Sydney,Baseball,Baseball,"LINARES, Omar",CUB,Men,Baseball,Silver
1972,Munich,Fencing,Fencing,"RIGOLI, Rolando",ITA,Men,Sabre Team,Gold
2000,Sydney,Handball,Handball,"KOUZELEV, Dmitri",RUS,Men,Handball,Gold
1980,Moscow,Canoe / Kayak,Canoe / Kayak F,"POSTREKHIN, Sergei",URS,Men,C-1 500M (Canoe Single),Gold
2012,London,Sailing,Sailing,"WESTERHOF, Lisa",NED,Women,470,Bronze
2012,London,Badminton,Badminton,"ZHAO, Yunlei",CHN,Women,Doubles,Gold
2004,Athens,Equestrian,Eventing,"BRAKEWELL, Jeanette",GBR,Women,Team,Silver
1980,Moscow,Rowing,Rowing,"KRÖPPELIEN, Klaus",GDR,Men,Double Sculls (2X),Gold
2000,Sydney,Weightlifting,Weightlifting,"OGBEIFO, Ruth",NGR,Women,75KG,Silver
1996,Atlanta,Athletics,Athletics,"ROBINSON, Garth",JAM,Men,4X400M Relay,Bronze
2000,Sydney,Rowing,Rowing,"MADSEN, Soren",DEN,Men,Lightweight Coxless Four (4-),Bronze
1992,Barcelona,Aquatics,Water polo,"MICHAVILA JOVER, Ruben",ESP,Men,Water Polo,Silver
1960,Rome,Wrestling,Wrestling Gre-R,"SAYED, Osman",EGY,Men,- 52KG (Flyweight),Silver
1924,Paris,Athletics,Athletics,"NURMI, Paavo",FIN,Men,Cross Country Individual,Gold
2004,Athens,Volleyball,Volleyball,"SANTANA, Rodrigo",BRA,Men,Volleyball,Gold
1992,Barcelona,Wrestling,Wrestling Free.,"SMITH, John",USA,Men,57 - 62KG (Featherweight),Gold
1980,Moscow,Football,Football,"SULAKVELIDZE, Tengiz",URS,Men,Football,Bronze
1992,Barcelona,Basketball,Basketball,"KURTINAITIS, Rimas",LTU,Men,Basketball,Bronze
2004,Athens,Gymnastics,Rhythmic G.,"TCHACHINA, Irina",RUS,Women,Individual All-Round,Silver
2008,Beijing,Cycling,Mountain Bike,"WLOSZCZOWSKA, Maja",POL,Women,Cross-Country,Silver
1976,Montreal,Athletics,Athletics,"NEWHOUSE, Frederick Vaughn",USA,Men,400M,Silver
1984,Los Angeles,Athletics,Athletics,"EVANGELISTI, Giovanni",ITA,Men,Long Jump,Bronze
1988,Seoul,Gymnastics,Artistic G.,"SATO, Toshiharu",JPN,Men,Team Competition,Bronze
1996,Atlanta,Hockey,Hockey,"BOVELANDER, Floris Jan",NED,Men,Hockey,Gold
2004,Athens,Aquatics,Swimming,"KELLER, Klete",USA,Men,400M Freestyle,Bronze
1984,Los Angeles,Rowing,Rowing,"VAN DROGENBROEK, Marieke",NED,Women,Eight With Coxswain (8+),Bronze
2012,London,Canoe,Canoe Sprint,"LARSEN, Eirik Veraas",NOR,Men,K-1 1000M,Gold
